sensor1.id,sensor1.carId,sensor1.carLocation,sensor1.timeValue,sensor1.pm25,sensor1.pm10,sensor1.tags,sensor1.classification
732,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:50:36,6.3,10.8,"Não existência de fumo, vidros fechados, AC ligado",0
731,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:50:25,6.3,10.3,"Não existência de fumo, vidros fechados, AC ligado",0
730,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:50:14,6.2,8.4,"Não existência de fumo, vidros fechados, AC ligado",0
729,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:50:03,6.1,8.4,"Não existência de fumo, vidros fechados, AC ligado",0
728,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:49:52,6.3,8.9,"Não existência de fumo, vidros fechados, AC ligado",0
727,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:49:41,6.4,10.6,"Não existência de fumo, vidros fechados, AC ligado",0
726,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:49:30,6.2,10.3,"Não existência de fumo, vidros fechados, AC ligado",0
725,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:49:19,6.2,10.1,"Não existência de fumo, vidros fechados, AC ligado",0
724,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:49:08,6.0,7.9,"Não existência de fumo, vidros fechados, AC ligado",0
723,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:48:57,5.9,8.1,"Não existência de fumo, vidros fechados, AC ligado",0
722,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:48:46,5.7,8.0,"Não existência de fumo, vidros fechados, AC ligado",0
721,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:48:35,5.6,8.2,"Não existência de fumo, vidros fechados, AC ligado",0
720,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:48:25,5.3,8.0,"Não existência de fumo, vidros fechados, AC ligado",0
719,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:48:14,4.9,8.0,"Não existência de fumo, vidros fechados, AC ligado",0
718,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:48:03,4.8,8.1,"Não existência de fumo, vidros fechados, AC ligado",0
717,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:47:47,4.4,6.7,"Não existência de fumo, vidros fechados, AC ligado",0
716,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:47:36,4.0,6.1,"Não existência de fumo, vidros fechados, AC ligado",0
715,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:47:25,3.8,6.5,"Não existência de fumo, vidros fechados, AC ligado",0
714,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:47:14,3.7,6.4,"Não existência de fumo, vidros fechados, AC ligado",0
713,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:47:04,3.7,6.3,"Não existência de fumo, vidros fechados, AC ligado",0
712,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:46:53,3.5,5.7,"Não existência de fumo, vidros fechados, AC ligado",0
711,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:46:42,3.5,6.2,"Não existência de fumo, vidros fechados, AC ligado",0
710,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:46:31,3.5,6.2,"Não existência de fumo, vidros fechados, AC ligado",0
709,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:46:20,3.0,5.0,"Não existência de fumo, vidros fechados, AC ligado",0
708,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:46:09,2.5,3.9,"Não existência de fumo, vidros fechados, AC ligado",0
707,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:45:58,2.0,4.2,"Não existência de fumo, vidros fechados, AC ligado",0
706,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:45:47,1.9,4.5,"Não existência de fumo, vidros fechados, AC ligado",0
705,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:45:36,1.5,3.8,"Não existência de fumo, vidros fechados, AC ligado",0
704,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:45:25,1.2,3.7,"Não existência de fumo, vidros fechados, AC ligado",0
703,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:45:15,1.0,2.8,"Não existência de fumo, vidros fechados, AC ligado",0
702,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:45:04,1.1,3.2,"Não existência de fumo, vidros fechados, AC ligado",0
701,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:44:53,1.0,1.9,"Não existência de fumo, vidros fechados, AC ligado",0
700,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:44:42,1.1,1.7,"Não existência de fumo, vidros fechados, AC ligado",0
699,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:44:31,1.1,2.3,"Não existência de fumo, vidros fechados, AC ligado",0
698,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:44:20,1.2,2.7,"Não existência de fumo, vidros fechados, AC ligado",0
697,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:44:10,1.2,2.7,"Não existência de fumo, vidros fechados, AC ligado",0
696,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:43:59,1.2,2.0,"Não existência de fumo, vidros fechados, AC ligado",0
695,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:43:47,1.1,1.8,"Não existência de fumo, vidros fechados, AC ligado",0
694,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:43:31,1.1,2.2,"Não existência de fumo, vidros fechados, AC ligado",0
693,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:43:20,1.1,2.1,"Não existência de fumo, vidros fechados, AC ligado",0
692,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:43:09,1.0,1.7,"Não existência de fumo, vidros fechados, AC ligado",0
691,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:42:58,0.9,1.3,"Não existência de fumo, vidros fechados, AC ligado",0
690,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:42:46,1.0,1.3,"Não existência de fumo, vidros fechados, AC ligado",0
689,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:42:35,1.1,1.8,"Não existência de fumo, vidros fechados, AC ligado",0
688,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:42:10,1.2,3.1,"Não existência de fumo, vidros fechados, AC ligado",0
687,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:41:53,1.2,3.0,"Não existência de fumo, vidros fechados, AC ligado",0
686,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:41:40,1.0,2.8,"Não existência de fumo, vidros fechados, AC ligado",0
685,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:41:30,1.1,4.3,"Não existência de fumo, vidros fechados, AC ligado",0
684,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:41:14,1.2,3.8,"Não existência de fumo, vidros fechados, AC ligado",0
683,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:41:03,1.1,2.4,"Não existência de fumo, vidros fechados, AC ligado",0
682,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:40:52,1.1,1.9,"Não existência de fumo, vidros fechados, AC ligado",0
681,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:40:42,1.1,2.8,"Não existência de fumo, vidros fechados, AC ligado",0
680,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:40:31,1.2,2.7,"Não existência de fumo, vidros fechados, AC ligado",0
679,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:40:20,1.3,2.5,"Não existência de fumo, vidros fechados, AC ligado",0
678,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:40:09,1.4,3.6,"Não existência de fumo, vidros fechados, AC ligado",0
677,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:39:59,1.4,3.5,"Não existência de fumo, vidros fechados, AC ligado",0
676,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:39:47,1.2,3.0,"Não existência de fumo, vidros fechados, AC ligado",0
675,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:39:36,1.2,2.1,"Não existência de fumo, vidros fechados, AC ligado",0
674,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:39:25,1.2,2.2,"Não existência de fumo, vidros fechados, AC ligado",0
673,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:39:14,1.4,2.3,"Não existência de fumo, vidros fechados, AC ligado",0
672,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:39:03,1.4,2.2,"Não existência de fumo, vidros fechados, AC ligado",0
671,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:38:52,1.5,2.4,"Não existência de fumo, vidros fechados, AC ligado",0
670,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:38:36,1.6,2.6,"Não existência de fumo, vidros fechados, AC ligado",0
669,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:38:26,1.6,2.6,"Não existência de fumo, vidros fechados, AC ligado",0
668,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:38:15,1.5,2.5,"Não existência de fumo, vidros fechados, AC ligado",0
667,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:38:04,1.6,2.7,"Não existência de fumo, vidros fechados, AC ligado",0
666,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:37:54,1.8,3.7,"Não existência de fumo, vidros fechados, AC ligado",0
665,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:37:43,2.1,3.8,"Não existência de fumo, vidros fechados, AC ligado",0
664,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:37:32,2.2,4.7,"Não existência de fumo, vidros fechados, AC ligado",0
663,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:37:22,2.1,5.4,"Não existência de fumo, vidros fechados, AC ligado",0
662,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:37:11,2.0,5.5,"Não existência de fumo, vidros fechados, AC ligado",0
661,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:37:00,1.9,5.2,"Não existência de fumo, vidros fechados, AC ligado",0
660,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:36:49,2.0,4.2,"Não existência de fumo, vidros fechados, AC ligado",0
659,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:36:38,2.2,4.1,"Não existência de fumo, vidros fechados, AC ligado",0
658,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:36:28,2.2,4.3,"Não existência de fumo, vidros fechados, AC ligado",0
657,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:36:17,2.5,4.8,"Não existência de fumo, vidros fechados, AC ligado",0
656,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:36:01,2.4,5.8,"Não existência de fumo, vidros fechados, AC ligado",0
655,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:35:50,2.6,5.0,"Não existência de fumo, vidros fechados, AC ligado",0
654,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:35:39,2.8,5.0,"Não existência de fumo, vidros fechados, AC ligado",0
653,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:35:27,3.0,5.0,"Não existência de fumo, vidros fechados, AC ligado",0
652,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:35:16,3.1,5.0,"Não existência de fumo, vidros fechados, AC ligado",0
651,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:35:06,3.3,5.3,"Não existência de fumo, vidros fechados, AC ligado",0
650,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:34:54,3.6,6.0,"Não existência de fumo, vidros fechados, AC ligado",0
649,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:34:43,4.0,6.6,"Não existência de fumo, vidros fechados, AC ligado",0
648,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:34:32,4.3,6.4,"Não existência de fumo, vidros fechados, AC ligado",0
647,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:34:01,5.6,8.3,"Não existência de fumo, vidros fechados, AC ligado",0
646,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:33:50,6.0,8.7,"Não existência de fumo, vidros fechados, AC ligado",0
645,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:33:39,6.9,9.6,"Não existência de fumo, vidros fechados, AC ligado",0
644,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:33:24,8.0,10.6,"Não existência de fumo, vidros fechados, AC ligado",0
643,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:33:13,8.6,10.9,"Não existência de fumo, vidros fechados, AC ligado",0
642,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:33:02,9.7,11.4,"Não existência de fumo, vidros fechados, AC ligado",0
641,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:32:51,10.6,12.5,"Não existência de fumo, vidros fechados, AC ligado",0
640,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:32:40,11.0,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
639,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:32:29,10.8,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
638,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:32:19,10.9,12.3,"Não existência de fumo, vidros fechados, AC ligado",0
637,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:32:02,11.3,13.1,"Não existência de fumo, vidros fechados, AC ligado",0
636,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:31:52,11.5,12.9,"Não existência de fumo, vidros fechados, AC ligado",0
635,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:31:41,11.5,12.8,"Não existência de fumo, vidros fechados, AC ligado",0
634,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:31:30,11.6,13.0,"Não existência de fumo, vidros fechados, AC ligado",0
633,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:31:19,11.6,13.3,"Não existência de fumo, vidros fechados, AC ligado",0
632,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:31:03,12.1,13.9,"Não existência de fumo, vidros fechados, AC ligado",0
631,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:30:53,12.2,13.9,"Não existência de fumo, vidros fechados, AC ligado",0
630,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:30:42,12.1,13.5,"Não existência de fumo, vidros fechados, AC ligado",0
629,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:30:32,12.1,14.1,"Não existência de fumo, vidros fechados, AC ligado",0
628,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:30:21,12.4,14.3,"Não existência de fumo, vidros fechados, AC ligado",0
627,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:30:10,12.5,15.4,"Não existência de fumo, vidros fechados, AC ligado",0
626,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:29:59,12.6,16.4,"Não existência de fumo, vidros fechados, AC ligado",0
625,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:29:48,12.3,17.3,"Não existência de fumo, vidros fechados, AC ligado",0
624,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:29:36,12.1,15.8,"Não existência de fumo, vidros fechados, AC ligado",0
623,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:29:25,12.1,16.1,"Não existência de fumo, vidros fechados, AC ligado",0
622,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:29:13,11.9,14.6,"Não existência de fumo, vidros fechados, AC ligado",0
621,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:29:02,11.3,13.8,"Não existência de fumo, vidros fechados, AC ligado",0
620,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:51,10.9,13.1,"Não existência de fumo, vidros fechados, AC ligado",0
619,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:40,10.5,13.0,"Não existência de fumo, vidros fechados, AC ligado",0
618,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:29,10.3,13.5,"Não existência de fumo, vidros fechados, AC ligado",0
617,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:18,10.2,12.9,"Não existência de fumo, vidros fechados, AC ligado",0
616,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:28:06,10.4,13.6,"Não existência de fumo, vidros fechados, AC ligado",0
615,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:55,10.8,14.6,"Não existência de fumo, vidros fechados, AC ligado",0
614,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:44,10.6,14.8,"Não existência de fumo, vidros fechados, AC ligado",0
613,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:33,10.5,14.8,"Não existência de fumo, vidros fechados, AC ligado",0
612,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:22,9.6,13.7,"Não existência de fumo, vidros fechados, AC ligado",0
611,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:10,9.9,13.8,"Não existência de fumo, vidros fechados, AC ligado",0
610,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:27:00,9.7,13.7,"Não existência de fumo, vidros fechados, AC ligado",0
609,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:48,9.7,13.4,"Não existência de fumo, vidros fechados, AC ligado",0
608,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:37,9.7,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
607,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:26,10.0,14.1,"Não existência de fumo, vidros fechados, AC ligado",0
606,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:15,10.1,14.8,"Não existência de fumo, vidros fechados, AC ligado",0
605,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:26:04,10.0,15.0,"Não existência de fumo, vidros fechados, AC ligado",0
604,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:53,9.6,13.4,"Não existência de fumo, vidros fechados, AC ligado",0
603,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:42,9.5,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
602,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:30,9.2,13.2,"Não existência de fumo, vidros fechados, AC ligado",0
601,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:20,9.2,14.2,"Não existência de fumo, vidros fechados, AC ligado",0
600,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:25:03,8.7,13.4,"Não existência de fumo, vidros fechados, AC ligado",0
599,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:51,8.5,12.3,"Não existência de fumo, vidros fechados, AC ligado",0
598,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:40,8.4,11.9,"Não existência de fumo, vidros fechados, AC ligado",0
597,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:29,8.3,12.5,"Não existência de fumo, vidros fechados, AC ligado",0
596,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:18,7.8,12.3,"Não existência de fumo, vidros fechados, AC ligado",0
595,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:24:02,7.2,12.0,"Não existência de fumo, vidros fechados, AC ligado",0
594,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:51,7.0,11.8,"Não existência de fumo, vidros fechados, AC ligado",0
593,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:40,6.1,11.6,"Não existência de fumo, vidros fechados, AC ligado",0
592,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:29,5.9,11.5,"Não existência de fumo, vidros fechados, AC ligado",0
591,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:18,5.8,11.2,"Não existência de fumo, vidros fechados, AC ligado",0
590,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:23:08,6.0,11.5,"Não existência de fumo, vidros fechados, AC ligado",0
589,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:22:57,6.1,10.7,"Não existência de fumo, vidros fechados, AC ligado",0
588,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:22:46,8.0,12.7,"Não existência de fumo, vidros fechados, AC ligado",0
571,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:14:08,3.8,8.6,"Não existência de fumo, vidros fechados, AC desligado",0
570,66-ZZ-66,41.5608 -8.3968,2020-11-25 12:13:57,3.5,6.9,"Não existência de fumo, vidros fechados, AC desligado",0
